"unit","03401","03402","03403","03404","03405","03451","03452","03453","03454","03455","03456","03457","03458","03459","03460","03461","03462"
"03401",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"03402",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"03403",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"03404",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"03405",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"03451",0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0
"03452",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"03453",0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
"03454",0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"03455",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"03456",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"03457",0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"03458",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0
"03459",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
"03460",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"03461",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"03462",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
