"week","unit","Sprop"
1,"03401",0.0480769230769231
2,"03401",0.0480769230769231
3,"03401",0.0480769230769231
4,"03401",0.0480769230769231
5,"03401",0.0480769230769231
6,"03401",0.0480769230769231
7,"03401",0.0480769230769231
8,"03401",0.0480769230769231
9,"03401",0.0480769230769231
10,"03401",0.0480769230769231
11,"03401",0.0480769230769231
12,"03401",0.0480769230769231
13,"03401",0.0480769230769231
14,"03401",0.0480769230769231
15,"03401",0.0480769230769231
16,"03401",0.0480769230769231
17,"03401",0.0480769230769231
18,"03401",0.0480769230769231
19,"03401",0.0480769230769231
20,"03401",0.0480769230769231
21,"03401",0.0480769230769231
22,"03401",0.0480769230769231
23,"03401",0.0480769230769231
24,"03401",0.0480769230769231
25,"03401",0.0480769230769231
26,"03401",0.0480769230769231
27,"03401",0.0480769230769231
28,"03401",0.0480769230769231
29,"03401",0.0480769230769231
30,"03401",0.0480769230769231
31,"03401",0.0480769230769231
32,"03401",0.0480769230769231
33,"03401",0.0480769230769231
34,"03401",0.0480769230769231
35,"03401",0.0480769230769231
36,"03401",0.0480769230769231
37,"03401",0.0480769230769231
38,"03401",0.0480769230769231
39,"03401",0.0480769230769231
40,"03401",0.0480769230769231
41,"03401",0.0480769230769231
42,"03401",0.0480769230769231
43,"03401",0.0480769230769231
44,"03401",0.0480769230769231
45,"03401",0.0480769230769231
46,"03401",0.0480769230769231
47,"03401",0.0480769230769231
48,"03401",0.0480769230769231
49,"03401",0.0480769230769231
50,"03401",0.0480769230769231
51,"03401",0.0480769230769231
52,"03401",0.0480769230769231
53,"03401",0.0480769230769231
54,"03401",0.0480769230769231
55,"03401",0.0480769230769231
56,"03401",0.0480769230769231
57,"03401",0.0480769230769231
58,"03401",0.0480769230769231
59,"03401",0.0480769230769231
60,"03401",0.0480769230769231
61,"03401",0.0480769230769231
62,"03401",0.0480769230769231
63,"03401",0.0480769230769231
64,"03401",0.0480769230769231
65,"03401",0.0480769230769231
66,"03401",0.0480769230769231
67,"03401",0.0480769230769231
68,"03401",0.0480769230769231
69,"03401",0.0480769230769231
70,"03401",0.0480769230769231
71,"03401",0.0480769230769231
72,"03401",0.0480769230769231
73,"03401",0.0480769230769231
74,"03401",0.0480769230769231
75,"03401",0.0480769230769231
76,"03401",0.0480769230769231
77,"03401",0.0480769230769231
78,"03401",0.0480769230769231
79,"03401",0.0480769230769231
80,"03401",0.0480769230769231
81,"03401",0.0480769230769231
82,"03401",0.0480769230769231
83,"03401",0.0480769230769231
84,"03401",0.0480769230769231
85,"03401",0.0480769230769231
86,"03401",0.0480769230769231
87,"03401",0.0480769230769231
88,"03401",0.0480769230769231
