"unit","GEN","AREA","POPULATION","vaccdoc.2004","vacc1.2004","vacc2.2004"
"03401","SK Delmenhorst",72177995.598,75986,0.929757343550447,0.951923076923077,0.787087912087912
"03402","SK Emden",111536283.027,51445,0.911196911196911,0.860169491525424,0.680084745762712
"03403","SK Oldenburg",106839362.638,158340,0.877377049180328,0.917040358744395,0.617339312406577
"03404","SK Osnabrueck",121548853.378,165517,0.919675755342668,0.920673076923077,0.702724358974359
"03405","SK Wilhelmshaven",108502479.031,84586,0.907246376811594,0.939297124600639,0.746006389776358
"03451","LK Ammerland",726824246.896,114524,0.934177215189873,0.965672990063234,0.685636856368564
"03452","LK Aurich",1304510899.92,189652,0.897977132805629,0.879040156709109,0.530362389813908
"03453","LK Cloppenburg",1411812701.48,153283,0.92814093648586,0.945554445554446,0.521478521478521
"03454","LK Emsland",2876640593.81,307734,0.842251388187784,0.969433623014684,0.707521726101289
"03455","LK Friesland",615871372.939,101657,0.917609046849758,0.890845070422535,0.579225352112676
"03456","LK Grafschaft Bentheim",982992675.453,132975,0.898929845422117,0.968915343915344,0.636904761904762
"03457","LK Leer",1064002897.81,164540,0.866929521931986,0.913587265491757,0.612279704377487
"03458","LK Oldenburg",1044519169.32,124564,0.906229929351317,0.945428773919206,0.67115520907158
"03459","LK Osnabrueck",2109330146.23,358041,0.942064372918979,0.949811498586239,0.544533459000943
"03460","LK Vechta",814317729.76,130471,0.950273224043716,0.968947671075331,0.69120184013801
"03461","LK Wesermarsch",839007521.958,94242,0.834688346883469,0.924242424242424,0.615800865800866
"03462","LK Wittmund",666863169.513,57672,0.908701854493581,0.941915227629513,0.643642072213501
